Start date,End date,Business ID,Business name,Store ID,Store name,Channel,Item name,Popular item,Currency,Gross sales,Discounts,Total sold,Total item errors,Total error charges
2025-04-30,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,4 Piece McCrispy™ Strips,0,USD,428.62,28.92,58,2,19.05
2025-01-01,2026-05-10,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Quarter Pounder® with Cheese Deluxe,0,USD,426.56,48.98,56,2,8.31
2025-01-02,2026-05-27,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Steak & Egg McMuffin®,0,USD,421.65,44.51,84,4,17.07
2025-01-05,2026-04-13,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Iced French Vanilla Coffee,0,USD,416.62,30.90,109,2,6.04
2025-03-03,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Iced Caramel Macchiato,0,USD,402.56,22.51,87,7,35.31
2025-01-11,2026-05-28,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Spicy McCrispy™,0,USD,400.30,57.03,53,4,31.65
2025-01-02,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Creamy Ranch Sauce,0,USD,398.97,53.21,1023,19,12.51
2025-01-03,2026-05-31,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Fanta® Orange,0,USD,398.51,34.13,189,4,9.16
2025-12-02,2025-12-24,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,The Grinch™ 10 pc. Chicken McNuggets® Meal,0,USD,398.43,64.60,27,3,27.87
2025-01-03,2026-05-21,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Mango Pineapple Smoothie,0,USD,395.72,28.80,96,3,10.15
