Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-26,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.71,57.71,0.00,0.00,0.00,0.00,549421899,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-19,USD,Marketplace,11543.60,0.00,-1475.28,0.00,-525.24,-1853.66,-50.48,0.00,50.48,0.00,-1928.90,0.00,-450.00,0.00,-386.95,88.16,7390.63,9642.45,-675.09,50.48,1861.44,547579610,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-19,USD,Storefront,21.18,0.00,0.00,-1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.95,21.18,-1.48,0.00,0.00,547579610,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-19,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.83,42.83,0.00,0.00,0.00,0.00,547579610,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-12,USD,Marketplace,8566.77,0.00,-1122.50,0.00,-414.33,-1291.20,-33.66,0.00,33.66,0.00,-1360.50,0.00,-345.03,0.00,-330.86,97.72,5505.60,7247.89,-507.43,33.66,1291.20,544924324,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-12,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.49,46.49,0.00,0.00,0.00,0.00,544924324,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-05,USD,Marketplace,9259.87,0.00,-1200.79,0.00,-347.81,-1462.17,-48.19,0.00,48.19,0.00,-1532.57,0.00,-277.41,0.00,-341.14,35.43,5943.39,7764.50,-542.56,48.19,1462.17,543049982,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-05,USD,Storefront,37.60,0.00,0.00,-2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.14,37.60,-2.63,0.00,0.00,543049982,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-05,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78,41.78,0.00,0.00,0.00,0.00,543049982,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-29,USD,Marketplace,8321.55,0.00,-1132.83,0.00,-354.98,-990.24,-54.87,-6.06,54.87,6.06,-1067.71,0.00,-277.51,0.00,-193.84,98.91,5748.57,7279.43,-509.43,60.93,990.24,541229191,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-29,USD,Storefront,35.14,0.00,0.00,-2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.81,35.14,-2.46,0.00,0.00,541229191,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-29,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.48,49.48,0.00,0.00,0.00,0.00,541229191,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-22,USD,Marketplace,9845.36,0.00,-1357.58,0.00,-566.76,-1003.71,-88.19,-14.12,88.19,14.12,-1126.47,0.00,-444.00,0.00,-280.49,78.73,6715.55,8772.05,-614.07,102.31,1003.71,539431386,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-22,USD,Storefront,34.54,0.00,0.00,-2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.27,34.54,-2.42,0.00,0.00,539431386,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-22,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.84,50.84,0.00,0.00,0.00,0.00,539431386,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-15,USD,Marketplace,10172.07,0.00,-1354.87,0.00,-469.29,-1317.13,-108.04,0.00,108.04,0.00,-1387.42,0.00,-399.00,0.00,-253.73,194.63,6971.68,8755.87,-612.84,108.04,1317.13,537610137,PAID
