Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
Day of 2026-05-25,2026-05-25,2026-05-25,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,43,43,2,4.65,7.20,0,0.00,0,0.00,0.00,6.17,7.55,24.43,98.77,1.23,14,NULL,2,NULL,NULL,0,0,0.00,USD,24.43
Day of 2026-05-25,2026-05-25,2026-05-25,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,14,14,2,14.29,6.86,0,0.00,0,0.00,7.14,3.77,4.46,17.83,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,17.83
Day of 2026-05-24,2026-05-24,2026-05-24,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,86,86,2,2.33,10.19,0,0.00,0,0.00,0.00,4.12,5.21,22.03,100.0,0.0,0,NULL,2,NULL,NULL,1,0,0.00,USD,22.03
Day of 2026-05-24,2026-05-24,2026-05-24,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,51,51,5,9.80,17.81,0,0.00,0,0.00,0.00,4.72,6.31,21.02,97.86,2.14,27,NULL,4,NULL,NULL,2,0,0.00,USD,21.02
Day of 2026-05-24,2026-05-24,2026-05-24,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,31,30,0,0.00,0.00,1,3.23,0,0.00,3.23,3.51,4.80,21.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,21.00
Day of 2026-05-23,2026-05-23,2026-05-23,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,99,98,3,3.03,17.04,1,1.01,0,0.00,0.00,3.97,4.74,24.86,100.0,0.0,0,NULL,4,NULL,NULL,1,2,50.00,USD,24.86
Day of 2026-05-23,2026-05-23,2026-05-23,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,62,62,4,6.45,30.16,0,0.00,0,0.00,0.00,3.60,4.75,22.99,100.0,0.0,0,NULL,3,NULL,NULL,1,1,33.33,USD,22.99
Day of 2026-05-23,2026-05-23,2026-05-23,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,25,22,1,4.00,10.56,3,12.00,1,4.00,8.00,3.67,5.01,24.59,99.77,0.23,3,NULL,0,NULL,NULL,0,0,0.00,USD,24.59
Day of 2026-05-22,2026-05-22,2026-05-22,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,99,98,7,7.07,39.19,1,1.01,0,0.00,0.00,4.17,5.60,24.97,99.44,0.56,8,NULL,6,NULL,NULL,1,3,50.00,USD,24.97
Day of 2026-05-22,2026-05-22,2026-05-22,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,70,69,3,4.29,21.65,1,1.43,0,0.00,0.00,4.14,5.31,22.04,100.0,0.0,0,NULL,6,NULL,NULL,0,2,33.33,USD,22.04
Day of 2026-05-22,2026-05-22,2026-05-22,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,26,26,3,11.54,7.60,0,0.00,0,0.00,3.85,4.60,5.58,21.57,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,21.57
Day of 2026-05-21,2026-05-21,2026-05-21,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,45,45,3,6.67,22.23,0,0.00,0,0.00,0.00,3.05,4.06,16.39,100.0,0.0,0,NULL,5,NULL,NULL,0,2,40.00,USD,16.39
Day of 2026-05-21,2026-05-21,2026-05-21,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,50,50,2,4.00,23.73,0,0.00,0,0.00,0.00,6.00,7.25,21.40,100.0,0.0,0,NULL,5,NULL,NULL,0,3,60.00,USD,21.40
Day of 2026-05-21,2026-05-21,2026-05-21,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,23,23,2,8.70,4.74,0,0.00,0,0.00,0.00,3.62,4.46,16.89,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,16.89
Day of 2026-05-20,2026-05-20,2026-05-20,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,37,36,3,8.11,19.67,1,2.70,0,0.00,0.00,4.08,4.72,20.39,100.0,0.0,0,NULL,4,NULL,NULL,1,1,25.00,USD,20.39
Day of 2026-05-20,2026-05-20,2026-05-20,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,56,53,5,8.93,16.03,3,5.36,0,0.00,0.00,5.17,6.55,21.61,100.0,0.0,0,NULL,3,NULL,NULL,0,1,33.33,USD,21.61
Day of 2026-05-20,2026-05-20,2026-05-20,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,24,23,0,0.00,0.00,1,4.17,0,0.00,0.00,3.01,3.75,18.18,100.0,0.0,0,NULL,3,NULL,NULL,0,2,66.67,USD,18.18
Day of 2026-05-19,2026-05-19,2026-05-19,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,32,30,1,3.13,5.15,2,6.25,0,0.00,0.00,3.59,4.36,18.51,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,18.51
Day of 2026-05-19,2026-05-19,2026-05-19,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,34,33,3,8.82,18.68,1,2.94,1,2.94,0.00,3.85,4.83,19.91,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,19.91
Day of 2026-05-19,2026-05-19,2026-05-19,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,17,17,2,11.76,4.88,0,0.00,0,0.00,0.00,2.80,3.74,15.62,100.0,0.0,0,NULL,2,NULL,NULL,1,0,0.00,USD,15.62
Day of 2026-05-18,2026-05-18,2026-05-18,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,52,51,5,9.62,26.12,1,1.92,1,1.92,0.00,2.70,3.58,18.71,100.0,0.0,0,NULL,4,NULL,NULL,1,0,0.00,USD,18.71
Day of 2026-05-18,2026-05-18,2026-05-18,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,32,32,0,0.00,0.00,0,0.00,0,0.00,0.00,3.59,5.61,21.43,100.0,0.0,0,NULL,2,NULL,NULL,0,1,50.00,USD,21.43
